mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
claper,Variante orthographique de clapper.,non,oui
clasher,Autre orthographe de clacher.,non,oui
clay,Pigeon d’argile utilisé au ball-trap.,non,oui
clenche,"Poignée de porte, bec-de-cane.",non,oui
clette,"Incapable, idiot.",non,non
cliche,Poignée de porte.,non,oui
clignoteur,"Dispositif de sécurité, utilisé pour signaler aux autres usagers la direction que va prendre le véhicule.",non,non
clinche,"Individu maladroit, idiot ou incompétent.",non,oui
clincher,"Vérifier qu’une porte est ouverte ou fermée, appuyer sur la clinche.",non,oui
cliquoter,Cliqueter.,non,non
cliquottes,Chiffons.,non,oui
cloche,Cloque.,non,oui
clopper,"Concorder, correspondre. | Bien aller, bien se passer.",non,non
clos,Regroupement d’habitations ou d’immeubles auquel on accède habituellement par une seule voirie en cul-de-sac.,non,oui
coca,"Boisson gazeuse à base de cola ; abréviation de coca-cola. — Note : Au Québec, on dit plutôt un Coke.",non,oui
cokoter,"Vivre en colocation dans un kot, généralement situé à proximité de l’établissement scolaire.",non,non
cokoteur,"Étudiant ou étudiante avec qui on partage une chambre, un appartement ou une maison d’étudiant.",non,non
cokoteuse,"Étudiante avec qui on partage une chambre, un appartement ou une maison d’étudiant.",non,non
collocation,Hospitalisation sans consentement.,non,oui
colloquer,Interner.,non,oui
collège,Établissement catholique d’enseignement secondaire.,non,oui
combi,"Camionnette, fourgonnette.",non,oui
comitard,Membre du comité d’encadrement d’un club de sport amateur. | Étudiant membre d’un comité de baptême.,non,oui
comitarde,Femme membre du comité d’encadrement d’un club de sport amateur. | Étudiante membre d’un comité de baptême.,non,oui
comminer,Menacer de poursuites judiciaires.,non,non
communauté,"Collectivité politique fédérée exerçant des diverses compétences liées à la culture, à l'éducation, à la santé ou encore à l'aide aux personnes.",non,oui
comptabilisme,Mode de paiement différent que l'argent liquide.,non,non
confusionnel,Qui prête à confusion.,non,oui
constatateur,"Qui constate, qui dresse un constat.",non,non
contraire,Peu accommodant.,non,oui
convictionnel,Qui est relatif au domaine de la liberté dite de religion ou de conviction.,non,oui
coparente,"Épouse ou partenaire de la femme ayant accouché d'un enfant, élevant celui-ci comme leur enfant commun avec cette dernière.",non,non
copion,"Copie d’un extrait de cours destinée à servir d’aide-mémoire lors d’une interrogation, d’un examen.",non,non
copiste,"Élève qui copie sur son voisin, copieur.",non,oui
copropriété,Propriété qui confère à chacun des copropriétaires une partie privative et une quote-part de parties communes.,non,oui
corin,Sorte de compote fabriquée avec des fruits séchés broyés et réhydratés avec de l'eau tiède.,non,oui
coter,Apprécier par un chiffre la valeur d’un travail fait par un élève ou la conduite de cet élève.,non,oui
cougner,Faire l'amour férocement.,non,oui
cougnole,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
cougnolle,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
cougnou,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
